dates,files,dates,datesstring,mean temperature (celsius),cloudcover (0-1)
2013-03-30,LC08_198024_20130330.tif,2013-03-30,2013/03/30,9.112027168273926,0.8439738060380644
2013-04-14,LC08_199024_20130414.tif,2013-04-14,2013/04/14,,1.0
2013-04-30,LC08_199024_20130430.tif,2013-04-30,2013/04/30,9.757015228271484,0.9999703240612512
2013-05-25,LC08_198024_20130525.tif,2013-05-25,2013/05/25,16.563188552856445,0.8855860668170248
2013-06-01,LC08_199024_20130601.tif,2013-06-01,2013/06/01,18.266530990600586,0.9403579577678418
2013-06-10,LC08_198024_20130610.tif,2013-06-10,2013/06/10,,1.0
2013-06-26,LC08_198024_20130626.tif,2013-06-26,2013/06/26,,1.0
2013-07-19,LC08_199024_20130719.tif,2013-07-19,2013/07/19,32.145870208740234,0.0843456125773223
2013-07-28,LC08_198024_20130728.tif,2013-07-28,2013/07/28,19.059673309326172,0.6753023648425857
2013-08-04,LC08_199024_20130804.tif,2013-08-04,2013/08/04,27.81523895263672,0.09883076801329482
2013-08-13,LC08_198024_20130813.tif,2013-08-13,2013/08/13,22.772790908813477,0.4587669317717195
2013-08-20,LC08_199024_20130820.tif,2013-08-20,2013/08/20,,1.0
2013-08-29,LC08_198024_20130829.tif,2013-08-29,2013/08/29,11.959351539611816,0.9988888009601815
2013-09-05,LC08_199024_20130905.tif,2013-09-05,2013/09/05,33.66659164428711,0.09781848876930585
2013-09-30,LC08_198024_20130930.tif,2013-09-30,2013/09/30,17.576213836669922,0.026886400506469354
2013-10-07,LC08_199024_20131007.tif,2013-10-07,2013/10/07,18.235809326171875,0.5395052691277912
2013-10-16,LC08_198024_20131016.tif,2013-10-16,2013/10/16,,1.0
2013-11-08,LC08_199024_20131108.tif,2013-11-08,2013/11/08,,1.0
2013-11-24,LC08_199024_20131124.tif,2013-11-24,2013/11/24,8.058894157409668,0.8484482781360873
2013-12-03,LC08_198024_20131203.tif,2013-12-03,2013/12/03,,1.0
2013-12-10,LC08_199024_20131210.tif,2013-12-10,2013/12/10,5.8934125900268555,0.24985162030625568
2014-01-04,LC08_198024_20140104.tif,2014-01-04,2014/01/04,,1.0
2014-01-27,LC08_199024_20140127.tif,2014-01-27,2014/01/27,3.902442455291748,0.3466017752806025
2014-02-05,LC08_198024_20140205.tif,2014-02-05,2014/02/05,7.4666218757629395,0.2538710613434627
2014-02-12,LC08_199024_20140212.tif,2014-02-12,2014/02/12,6.6233344078063965,0.10899972302457167
2014-02-21,LC08_198024_20140221.tif,2014-02-21,2014/02/21,7.534818649291992,0.9866689088487055
2014-03-09,LC08_198024_20140309.tif,2014-03-09,2014/03/09,15.838603973388672,0.031829092971418775
2014-03-16,LC08_199024_20140316.tif,2014-03-16,2014/03/16,15.75382137298584,0.36235969875624846
2014-03-25,LC08_198024_20140325.tif,2014-03-25,2014/03/25,13.53106689453125,0.8723242195228109
2014-04-01,LC08_199024_20140401.tif,2014-04-01,2014/04/01,20.365591049194336,0.2583125601762091
2014-04-10,LC08_198024_20140410.tif,2014-04-10,2014/04/10,13.381797790527344,0.9911301916406178
2014-04-17,LC08_199024_20140417.tif,2014-04-17,2014/04/17,22.022613525390625,0.1435721916669964
2014-04-26,LC08_198024_20140426.tif,2014-04-26,2014/04/26,16.349075317382812,0.9947671428006173
2014-05-03,LC08_199024_20140503.tif,2014-05-03,2014/05/03,18.477012634277344,0.8796574737203076
2014-05-12,LC08_198024_20140512.tif,2014-05-12,2014/05/12,,1.0
2014-05-19,LC08_199024_20140519.tif,2014-05-19,2014/05/19,29.904800415039062,0.1069224073121513
2014-06-13,LC08_198024_20140613.tif,2014-06-13,2014/06/13,27.483871459960938,0.10100040886848943
2014-06-20,LC08_199024_20140620.tif,2014-06-20,2014/06/20,,1.0
2014-06-29,LC08_198024_20140629.tif,2014-06-29,2014/06/29,,1.0
2014-07-22,LC08_199024_20140722.tif,2014-07-22,2014/07/22,24.26566505432129,0.1581661588783814
2014-07-31,LC08_198024_20140731.tif,2014-07-31,2014/07/31,26.440845489501953,0.03556826125377544
2014-08-07,LC08_199024_20140807.tif,2014-08-07,2014/08/07,,1.0
2014-08-16,LC08_198024_20140816.tif,2014-08-16,2014/08/16,,1.0
2014-08-23,LC08_199024_20140823.tif,2014-08-23,2014/08/23,16.995973587036133,0.7918496682889513
2014-09-01,LC08_198024_20140901.tif,2014-09-01,2014/09/01,22.337726593017578,0.521857977551801
2014-09-08,LC08_199024_20140908.tif,2014-09-08,2014/09/08,22.97471809387207,0.18229929173426185
2014-09-17,LC08_198024_20140917.tif,2014-09-17,2014/09/17,25.879547119140625,0.019892770941320775
2014-10-03,LC08_198024_20141003.tif,2014-10-03,2014/10/03,22.163299560546875,0.013921312599744128
2014-10-10,LC08_199024_20141010.tif,2014-10-10,2014/10/10,16.43874740600586,0.20872076920033236
2014-10-19,LC08_198024_20141019.tif,2014-10-19,2014/10/19,18.924034118652344,0.5373554122317625
2014-10-26,LC08_199024_20141026.tif,2014-10-26,2014/10/26,,1.0
2014-11-04,LC08_198024_20141104.tif,2014-11-04,2014/11/04,,1.0
2014-11-11,LC08_199024_20141111.tif,2014-11-11,2014/11/11,5.647633075714111,0.9999637294081959
2014-11-20,LC08_198024_20141120.tif,2014-11-20,2014/11/20,4.247133255004883,0.9645669291338582
2014-12-06,LC08_198024_20141206.tif,2014-12-06,2014/12/06,6.42506742477417,0.639206531344386
2015-01-07,LC08_198024_20150107.tif,2015-01-07,2015/01/07,3.7624056339263916,0.09443872907846318
2015-01-30,LC08_199024_20150130.tif,2015-01-30,2015/01/30,0.692063570022583,0.18720901093393477
2015-02-08,LC08_198024_20150208.tif,2015-02-08,2015/02/08,4.709282398223877,0.54982590115934
2015-02-15,LC08_199024_20150215.tif,2015-02-15,2015/02/15,8.053592681884766,0.033359052480249014
2015-02-24,LC08_198024_20150224.tif,2015-02-24,2015/02/24,3.799532175064087,0.9990899378783682
2015-03-12,LC08_198024_20150312.tif,2015-03-12,2015/03/12,14.35009479522705,0.005743942811168704
2015-03-19,LC08_199024_20150319.tif,2015-03-19,2015/03/19,,1.0
2015-04-04,LC08_199024_20150404.tif,2015-04-04,2015/04/04,,1.0
2015-04-13,LC08_198024_20150413.tif,2015-04-13,2015/04/13,4.7343597412109375,0.9999670267347235
2015-04-20,LC08_199024_20150420.tif,2015-04-20,2015/04/20,22.854228973388672,0.31567944710428786
2015-04-29,LC08_198024_20150429.tif,2015-04-29,2015/04/29,,1.0
2015-05-06,LC08_199024_20150506.tif,2015-05-06,2015/05/06,18.236682891845703,0.6565570635328876
2015-05-15,LC08_198024_20150515.tif,2015-05-15,2015/05/15,20.913496017456055,0.8993128371516375
2015-05-22,LC08_199024_20150522.tif,2015-05-22,2015/05/22,16.54943084716797,0.8374352075337317
2015-06-07,LC08_199024_20150607.tif,2015-06-07,2015/06/07,25.813608169555664,0.5631306136984133
2015-07-02,LC08_198024_20150702.tif,2015-07-02,2015/07/02,34.025875091552734,0.7689332489217742
2015-07-09,LC08_199024_20150709.tif,2015-07-09,2015/07/09,20.64996910095215,0.7798671836874662
2015-07-18,LC08_198024_20150718.tif,2015-07-18,2015/07/18,24.58782386779785,0.7242215012068215
2015-08-03,LC08_198024_20150803.tif,2015-08-03,2015/08/03,30.95294761657715,0.04057360292275023
2015-08-10,LC08_199024_20150810.tif,2015-08-10,2015/08/10,,1.0
2015-08-19,LC08_198024_20150819.tif,2015-08-19,2015/08/19,21.7884464263916,0.7796363708305306
2015-08-26,LC08_199024_20150826.tif,2015-08-26,2015/08/26,16.86077308654785,0.8295776784183384
2015-09-04,LC08_198024_20150904.tif,2015-09-04,2015/09/04,16.282649993896484,0.9425144093169259
2015-09-11,LC08_199024_20150911.tif,2015-09-11,2015/09/11,21.244749069213867,0.0450381830411902
2015-09-20,LC08_198024_20150920.tif,2015-09-20,2015/09/20,16.979639053344727,0.8842902174916578
2015-09-27,LC08_199024_20150927.tif,2015-09-27,2015/09/27,18.468425750732422,0.045160184122713304
2015-10-13,LC08_199024_20151013.tif,2015-10-13,2015/10/13,,1.0
2015-10-29,LC08_199024_20151029.tif,2015-10-29,2015/10/29,15.47901439666748,0.1598972553053984
2015-11-23,LC08_198024_20151123.tif,2015-11-23,2015/11/23,3.90102219581604,0.648844616784711
2015-12-09,LC08_198024_20151209.tif,2015-12-09,2015/12/09,8.531635284423828,0.09232514277423864
2016-01-10,LC08_198024_20160110.tif,2016-01-10,2016/01/10,6.306469440460205,0.5765968952373416
2016-01-26,LC08_198024_20160126.tif,2016-01-26,2016/01/26,8.922183990478516,0.9540814307759269
